ID	S1	S2	S3
1497-RMM-1508	22.9194248035	16.3761335248	24.3024295782
1497-RMM-1509	23.1700456044	15.9876261989	23.1120648712
1497-RMM-1510	22.4606648471	15.9963404001	23.4047883719
1497-RMM-1511	24.0192533962	16.6101694085	22.8792539859
1497-RMM-1512	26.1496537751	15.4337420326	20.3543441766
1497-RMM-1513	25.6255994744	14.3467999326	21.0011159767
1497-RMM-1514	19.2938106472	17.4001630684	26.6573063322
1497-RMM-1515	18.0705406376	18.1953038973	27.8922821055
1497-RMM-1516	28.2763111377	14.0172695093	19.5632904579
1497-RMM-1517	26.8223785136	13.9468563887	21.8058166787
1497-RMM-1518	25.3750433632	13.2895664997	23.2084559877
1497-RMM-1519	25.3125540934	15.15233695	21.1988315982
1497-RMM-1520	27.1677340094	13.9707597652	20.433425218
1497-RMM-1521	25.0266403958	13.8686270086	23.6741594797
1497-RMM-1522	26.4423517994	13.9896201371	20.9866395395
1497-RMM-1523	25.7136237231	13.124632215	22.2326470713
1497-RMM-1524	23.1481375803	15.6214436936	23.134708227
1497-RMM-1525	14.1139095592	19.6307780312	30.48127177
1497-RMM-1526	27.0028742861	14.4971779195	20.9518452387
1497-RMM-1527	21.6127980357	17.234221794	23.6965562064
1497-RMM-1528	22.133978353	14.4504802395	25.2228918801
1497-RMM-1529	24.7919951742	14.2425063298	22.726640293
1497-RMM-1530	23.2393581389	12.9446165164	24.6176653163
1497-RMM-1531	16.9213462065	18.1496485422	27.4966178897
1497-RMM-1532	19.5097798987	17.1959740131	24.8397935435
1497-RMM-1533	25.414365526	13.8372894767	23.4127879969
1497-RMM-1534	24.4596519289	16.9530466547	21.2945694943
1497-RMM-1535	27.2368610088	12.4467847493	21.1927157508
1497-RMM-1536	22.9953733357	15.289297409	23.0965860597
1497-RMM-1537	23.1438115269	14.6357645646	23.7493134637
1497-RMM-1538	25.9855217094	16.4900915713	20.462217109
1497-RMM-1539	23.2780247409	13.1358714275	25.4754668446
1497-RMM-1540	23.549653321	12.8630596776	25.6120154386
1497-RMM-1541	26.725001335	13.4327164603	20.7795869198
1497-RMM-1542	24.2493400702	16.2800360881	22.2307904651
1497-RMM-1543	23.8411332853	12.1326412511	25.0641649921
1497-RMM-1544	27.5757067043	13.0430096195	21.3485109011
1497-RMM-1545	18.4220464563	18.8159272522	26.8123490199
